event_id,store_id,zone,camera_id,timestamp,dwell_seconds,motion_flag,person_count,event_type,is_anomaly
CAM-1722,STORE-184,Liquor,CAM-LQ1,2026-05-20 09:09:00,30,False,1,CLEAR,False
CAM-8239,STORE-184,Aisle 9,CAM-09A,2026-05-20 09:15:00,171,False,0,PASS,False
CAM-9938,STORE-184,Aisle 2,CAM-02A,2026-05-20 09:20:00,39,False,1,BROWSE,False
CAM-6050,STORE-184,Aisle 3,CAM-03A,2026-05-20 09:22:00,123,True,2,PASS,False
CAM-6794,STORE-184,Aisle 7,CAM-07A,2026-05-20 09:26:00,173,False,1,PASS,False
CAM-7755,STORE-184,Aisle 3,CAM-03A,2026-05-20 09:32:00,36,True,2,BROWSE,False
CAM-3608,STORE-184,Aisle 7,CAM-07A,2026-05-20 09:41:00,57,False,0,BROWSE,False
CAM-8541,STORE-184,Aisle 7,CAM-07A,2026-05-20 09:48:00,119,False,1,PASS,False
CAM-7528,STORE-184,Aisle 1,CAM-01A,2026-05-20 09:55:00,114,False,0,BROWSE,False
CAM-7548,STORE-184,Electronics,CAM-EL1,2026-05-20 10:12:00,167,False,0,PASS,False
CAM-5349,STORE-184,Aisle 9,CAM-09A,2026-05-20 10:18:00,39,True,3,BROWSE,False
CAM-9379,STORE-184,Electronics,CAM-EL1,2026-05-20 10:32:00,59,False,1,BROWSE,False
CAM-1027,STORE-184,Aisle 1,CAM-01A,2026-05-20 10:46:00,163,True,2,BROWSE,False
CAM-6143,STORE-184,Aisle 2,CAM-02A,2026-05-20 10:57:00,61,False,2,CLEAR,False
CAM-7592,STORE-184,Liquor,CAM-LQ1,2026-05-20 11:08:00,105,True,1,BROWSE,False
CAM-5930,STORE-184,Liquor,CAM-LQ1,2026-05-20 11:14:00,133,True,2,BROWSE,False
CAM-6279,STORE-184,Aisle 7,CAM-07A,2026-05-20 11:28:00,149,False,3,CLEAR,False
CAM-8752,STORE-184,Aisle 7,CAM-07A,2026-05-20 11:45:00,73,True,2,CLEAR,False
CAM-2530,STORE-184,Entrance,CAM-EN1,2026-05-20 11:56:00,90,False,1,PASS,False
CAM-1757,STORE-184,Aisle 3,CAM-03A,2026-05-20 11:57:00,92,False,0,BROWSE,False
CAM-4185,STORE-184,Liquor,CAM-LQ1,2026-05-20 12:16:00,128,False,3,PASS,False
CAM-2746,STORE-184,Aisle 3,CAM-03A,2026-05-20 12:17:00,138,True,1,CLEAR,False
CAM-1822,STORE-184,Exit,CAM-EX1,2026-05-20 12:32:00,172,True,0,BROWSE,False
CAM-9702,STORE-184,Aisle 3,CAM-03A,2026-05-20 12:47:00,173,False,3,CLEAR,False
CAM-9976,STORE-184,Exit,CAM-EX1,2026-05-20 13:01:00,144,True,3,BROWSE,False
CAM-5543,STORE-184,Aisle 9,CAM-09A,2026-05-20 13:09:00,163,False,1,BROWSE,False
CAM-5681,STORE-184,Pharmacy,CAM-PH1,2026-05-20 13:12:00,90,False,2,BROWSE,False
CAM-3267,STORE-184,Exit,CAM-EX1,2026-05-20 13:15:00,68,True,3,CLEAR,False
CAM-2052,STORE-184,Aisle 3,CAM-03A,2026-05-20 13:22:00,136,False,2,CLEAR,False
CAM-2020,STORE-184,Pharmacy,CAM-PH1,2026-05-20 13:36:00,82,False,3,CLEAR,False
CAM-7232,STORE-184,Aisle 1,CAM-01A,2026-05-20 13:55:00,152,True,2,BROWSE,False
CAM-9818,STORE-184,Liquor,CAM-LQ1,2026-05-20 14:09:00,169,True,3,PASS,False
CAM-8956,STORE-184,Aisle 9,CAM-09A,2026-05-20 14:23:00,37,False,2,CLEAR,False
CAM-8657,STORE-184,Liquor,CAM-LQ1,2026-05-20 14:29:00,62,True,3,CLEAR,False
CAM-2375,STORE-184,Entrance,CAM-EN1,2026-05-20 14:30:00,139,True,3,PASS,False
CAM-7211,STORE-184,Aisle 1,CAM-01A,2026-05-20 14:39:00,113,True,3,BROWSE,False
CAM-5558,STORE-184,Electronics,CAM-EL1,2026-05-20 14:52:00,137,False,0,BROWSE,False
CAM-1853,STORE-184,Aisle 1,CAM-01A,2026-05-20 15:10:00,119,True,0,CLEAR,False
CAM-5051,STORE-184,Aisle 1,CAM-01A,2026-05-20 15:11:00,81,True,1,PASS,False
CAM-2874,STORE-184,Aisle 3,CAM-03A,2026-05-20 15:27:00,174,True,3,CLEAR,False
CAM-2480,STORE-184,Aisle 9,CAM-09A,2026-05-21 09:08:00,141,True,0,BROWSE,False
CAM-1474,STORE-184,Aisle 3,CAM-03A,2026-05-21 09:18:00,41,False,0,BROWSE,False
CAM-8056,STORE-184,Electronics,CAM-EL1,2026-05-21 09:30:00,67,True,3,CLEAR,False
CAM-3868,STORE-184,Aisle 3,CAM-03A,2026-05-21 09:36:00,50,False,1,BROWSE,False
CAM-4804,STORE-184,Entrance,CAM-EN1,2026-05-21 09:41:00,148,False,3,BROWSE,False
CAM-5712,STORE-184,Aisle 1,CAM-01A,2026-05-21 09:56:00,169,True,0,BROWSE,False
CAM-5901,STORE-184,Electronics,CAM-EL1,2026-05-21 10:15:00,138,False,3,BROWSE,False
CAM-8916,STORE-184,Aisle 7,CAM-07A,2026-05-21 10:28:00,57,True,3,CLEAR,False
CAM-5847,STORE-184,Electronics,CAM-EL1,2026-05-21 10:47:00,105,True,3,BROWSE,False
CAM-1803,STORE-184,Aisle 1,CAM-01A,2026-05-21 11:06:00,157,False,1,CLEAR,False
CAM-4115,STORE-184,Electronics,CAM-EL1,2026-05-21 11:14:00,94,True,0,CLEAR,False
CAM-8222,STORE-184,Aisle 1,CAM-01A,2026-05-21 11:24:00,38,False,1,PASS,False
CAM-7807,STORE-184,Aisle 9,CAM-09A,2026-05-21 11:35:00,74,True,1,CLEAR,False
CAM-9221,STORE-184,Electronics,CAM-EL1,2026-05-21 11:52:00,99,True,2,BROWSE,False
CAM-2886,STORE-184,Aisle 9,CAM-09A,2026-05-21 12:03:00,149,True,1,PASS,False
CAM-6992,STORE-184,Liquor,CAM-LQ1,2026-05-21 12:21:00,53,False,0,BROWSE,False
CAM-8451,STORE-184,Exit,CAM-EX1,2026-05-21 12:25:00,124,False,3,CLEAR,False
CAM-4830,STORE-184,Electronics,CAM-EL1,2026-05-21 12:29:00,150,True,2,CLEAR,False
CAM-8606,STORE-184,Aisle 7,CAM-07A,2026-05-21 12:32:00,107,False,0,PASS,False
CAM-5986,STORE-184,Aisle 1,CAM-01A,2026-05-21 12:34:00,156,True,0,PASS,False
CAM-7367,STORE-184,Exit,CAM-EX1,2026-05-21 12:39:00,146,False,3,CLEAR,False
CAM-2622,STORE-184,Aisle 3,CAM-03A,2026-05-21 12:53:00,155,False,2,PASS,False
CAM-8264,STORE-184,Electronics,CAM-EL1,2026-05-21 13:00:00,143,True,2,PASS,False
CAM-6876,STORE-184,Electronics,CAM-EL1,2026-05-21 13:18:00,45,False,2,PASS,False
CAM-2501,STORE-184,Aisle 2,CAM-02A,2026-05-21 13:33:00,84,True,0,BROWSE,False
CAM-4362,STORE-184,Aisle 7,CAM-07A,2026-05-21 13:38:00,47,True,1,PASS,False
CAM-1046,STORE-184,Electronics,CAM-EL1,2026-05-21 13:43:00,100,True,1,CLEAR,False
CAM-2801,STORE-184,Aisle 9,CAM-09A,2026-05-21 13:49:00,36,True,0,BROWSE,False
CAM-6304,STORE-184,Aisle 7,CAM-07A,2026-05-21 14:08:00,34,True,2,PASS,False
CAM-9619,STORE-184,Aisle 3,CAM-03A,2026-05-21 14:22:00,59,True,3,BROWSE,False
CAM-2786,STORE-184,Electronics,CAM-EL1,2026-05-21 14:39:00,145,True,0,CLEAR,False
CAM-8504,STORE-184,Exit,CAM-EX1,2026-05-21 14:49:00,37,True,3,BROWSE,False
CAM-9032,STORE-184,Liquor,CAM-LQ1,2026-05-21 14:53:00,143,True,0,BROWSE,False
CAM-2076,STORE-184,Entrance,CAM-EN1,2026-05-21 14:58:00,62,False,2,BROWSE,False
CAM-5831,STORE-184,Entrance,CAM-EN1,2026-05-21 15:15:00,146,False,0,CLEAR,False
CAM-4522,STORE-184,Aisle 2,CAM-02A,2026-05-21 15:33:00,140,False,1,BROWSE,False
CAM-7532,STORE-184,Electronics,CAM-EL1,2026-05-21 15:48:00,136,True,2,BROWSE,False
CAM-7132,STORE-184,Electronics,CAM-EL1,2026-05-21 15:57:00,69,False,0,PASS,False
CAM-8075,STORE-184,Aisle 2,CAM-02A,2026-05-21 16:00:00,54,False,1,CLEAR,False
CAM-6400,STORE-184,Aisle 1,CAM-01A,2026-05-21 16:19:00,61,False,2,CLEAR,False
CAM-9312,STORE-184,Exit,CAM-EX1,2026-05-22 09:18:00,159,True,3,BROWSE,False
CAM-7116,STORE-184,Aisle 1,CAM-01A,2026-05-22 09:31:00,94,True,2,PASS,False
CAM-2698,STORE-184,Electronics,CAM-EL1,2026-05-22 09:39:00,178,False,1,PASS,False
CAM-6546,STORE-184,Electronics,CAM-EL1,2026-05-22 09:57:00,74,False,3,CLEAR,False
CAM-2033,STORE-184,Aisle 3,CAM-03A,2026-05-22 10:02:00,147,True,2,PASS,False
CAM-1686,STORE-184,Aisle 1,CAM-01A,2026-05-22 10:09:00,110,False,3,CLEAR,False
CAM-1599,STORE-184,Pharmacy,CAM-PH1,2026-05-22 10:18:00,78,False,2,PASS,False
CAM-3039,STORE-184,Electronics,CAM-EL1,2026-05-22 10:27:00,124,False,3,CLEAR,False
CAM-6554,STORE-184,Pharmacy,CAM-PH1,2026-05-22 10:40:00,77,False,3,BROWSE,False
CAM-2353,STORE-184,Exit,CAM-EX1,2026-05-22 10:49:00,138,True,3,CLEAR,False
CAM-5813,STORE-184,Aisle 3,CAM-03A,2026-05-22 11:07:00,112,True,0,BROWSE,False
CAM-8305,STORE-184,Aisle 9,CAM-09A,2026-05-22 11:17:00,139,True,3,BROWSE,False
CAM-6776,STORE-184,Pharmacy,CAM-PH1,2026-05-22 11:19:00,141,False,0,PASS,False
CAM-9406,STORE-184,Liquor,CAM-LQ1,2026-05-22 11:31:00,70,True,1,CLEAR,False
CAM-3068,STORE-184,Pharmacy,CAM-PH1,2026-05-22 11:33:00,47,True,2,BROWSE,False
CAM-1530,STORE-184,Liquor,CAM-LQ1,2026-05-22 11:52:00,69,False,2,BROWSE,False
CAM-3255,STORE-184,Pharmacy,CAM-PH1,2026-05-22 11:55:00,165,False,3,BROWSE,False
CAM-2858,STORE-184,Aisle 9,CAM-09A,2026-05-22 12:03:00,36,True,3,CLEAR,False
CAM-2929,STORE-184,Liquor,CAM-LQ1,2026-05-22 12:21:00,97,False,3,PASS,False
CAM-9047,STORE-184,Entrance,CAM-EN1,2026-05-22 12:31:00,81,True,1,PASS,False
CAM-8292,STORE-184,Pharmacy,CAM-PH1,2026-05-22 12:37:00,52,False,2,CLEAR,False
CAM-9882,STORE-184,Aisle 2,CAM-02A,2026-05-22 12:55:00,104,False,1,CLEAR,False
CAM-9335,STORE-184,Aisle 3,CAM-03A,2026-05-22 13:07:00,87,True,1,PASS,False
CAM-1430,STORE-184,Aisle 7,CAM-07A,2026-05-22 13:23:00,122,False,3,CLEAR,False
CAM-2412,STORE-184,Aisle 3,CAM-03A,2026-05-22 13:43:00,46,False,3,CLEAR,False
