record_id,store_id,sku,item_name,zone,expected_qty,actual_qty,delta,timestamp,adjusted_by,is_anomaly
INV-3749,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,13,13,0,2026-05-20 13:00:00,SYSTEM,False
INV-3683,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,9,10,1,2026-05-20 13:00:00,SYSTEM,False
INV-1420,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,9,9,0,2026-05-20 13:00:00,SYSTEM,False
INV-7498,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,14,14,0,2026-05-20 13:00:00,SYSTEM,False
INV-4978,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,9,9,0,2026-05-20 13:00:00,SYSTEM,False
INV-2983,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,12,11,-1,2026-05-20 13:00:00,SYSTEM,False
INV-6688,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,8,9,1,2026-05-20 19:00:00,SYSTEM,False
INV-7071,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,14,15,1,2026-05-20 19:00:00,SYSTEM,False
INV-1207,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,13,12,-1,2026-05-20 19:00:00,SYSTEM,False
INV-2729,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,15,15,0,2026-05-20 19:00:00,SYSTEM,False
INV-8532,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,13,13,0,2026-05-20 19:00:00,SYSTEM,False
INV-3885,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,14,14,0,2026-05-20 19:00:00,SYSTEM,False
INV-5712,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,8,8,0,2026-05-21 13:00:00,SYSTEM,False
INV-6761,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,12,13,1,2026-05-21 13:00:00,SYSTEM,False
INV-3535,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,11,10,-1,2026-05-21 13:00:00,SYSTEM,False
INV-2773,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,11,11,0,2026-05-21 13:00:00,SYSTEM,False
INV-2882,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,13,13,0,2026-05-21 13:00:00,SYSTEM,False
INV-8030,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,11,11,0,2026-05-21 13:00:00,SYSTEM,False
INV-5381,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,8,9,1,2026-05-21 19:00:00,SYSTEM,False
INV-5477,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,10,9,-1,2026-05-21 19:00:00,SYSTEM,False
