event_id,store_id,register_id,employee_id,timestamp,sku,item_name,amount,event_type,manager_approved,is_anomaly
RV-6718,STORE-184,R1,E004,2026-05-20 09:38:00,SKU-0033,Bread Loaf,4.99,RETURN,Yes,False
RV-9900,STORE-184,R3,E010,2026-05-20 10:36:00,SKU-0022,Lay's Chips 200g,3.49,VOID,No,False
RV-2697,STORE-184,R2,E005,2026-05-20 12:05:00,SKU-0033,Bread Loaf,4.99,VOID,Yes,False
RV-5616,STORE-184,R5,E004,2026-05-20 12:52:00,SKU-0022,Lay's Chips 200g,3.49,RETURN,Yes,False
RV-9004,STORE-184,R3,E001,2026-05-20 13:54:00,SKU-0033,Bread Loaf,4.99,VOID,No,False
RV-1606,STORE-184,R2,E009,2026-05-21 10:01:00,SKU-0022,Lay's Chips 200g,3.49,RETURN,Yes,False
RV-9617,STORE-184,R4,E001,2026-05-21 10:37:00,SKU-0044,Milk 1 Gallon,5.99,VOID,Yes,False
RV-8692,STORE-184,R3,E006,2026-05-21 11:11:00,SKU-0022,Lay's Chips 200g,3.49,RETURN,No,False
RV-6383,STORE-184,R5,E007,2026-05-21 12:35:00,SKU-0011,Coca Cola 2L,2.99,RETURN,No,False
RV-9864,STORE-184,R1,E010,2026-05-21 14:00:00,SKU-0044,Milk 1 Gallon,5.99,VOID,Yes,False
RV-9647,STORE-184,R4,E002,2026-05-22 10:05:00,SKU-0022,Lay's Chips 200g,3.49,RETURN,Yes,False
RV-1782,STORE-184,R2,E007,2026-05-22 10:42:00,SKU-0033,Bread Loaf,4.99,RETURN,Yes,False
RV-9189,STORE-184,R5,E009,2026-05-22 12:05:00,SKU-0011,Coca Cola 2L,2.99,VOID,No,False
RV-3352,STORE-184,R3,E007,2026-05-22 13:20:00,SKU-0022,Lay's Chips 200g,3.49,VOID,No,False
RV-7825,STORE-184,R2,E002,2026-05-22 14:05:00,SKU-0033,Bread Loaf,4.99,RETURN,Yes,False
RV-5582,STORE-184,R4,E005,2026-05-22 16:08:00,SKU-8821,Gillette Fusion Razor 4pk,24.99,VOID,No,True
RV-2946,STORE-184,R4,E005,2026-05-22 16:10:00,SKU-4401,Jack Daniels 750ml,54.99,VOID,No,True
RV-3108,STORE-184,R4,E005,2026-05-22 16:11:00,SKU-2210,Chanel No.5 Perfume,89.99,VOID,No,True
RV-3086,STORE-184,R2,E001,2026-05-23 10:03:00,SKU-0044,Milk 1 Gallon,5.99,VOID,Yes,False
RV-9920,STORE-184,R4,E009,2026-05-23 11:16:00,SKU-0044,Milk 1 Gallon,5.99,RETURN,Yes,False
RV-6671,STORE-184,R2,E005,2026-05-23 12:15:00,SKU-0022,Lay's Chips 200g,3.49,VOID,No,False
RV-7868,STORE-184,R5,E001,2026-05-23 12:47:00,SKU-0011,Coca Cola 2L,2.99,VOID,Yes,False
RV-1550,STORE-184,R4,E010,2026-05-23 13:23:00,SKU-0011,Coca Cola 2L,2.99,VOID,Yes,False
RV-2526,STORE-184,R4,E006,2026-05-24 10:25:00,SKU-0011,Coca Cola 2L,2.99,VOID,No,False
RV-8039,STORE-184,R2,E008,2026-05-24 11:08:00,SKU-0044,Milk 1 Gallon,5.99,RETURN,Yes,False
RV-9967,STORE-184,R5,E003,2026-05-24 11:59:00,SKU-0033,Bread Loaf,4.99,RETURN,Yes,False
RV-2631,STORE-184,R4,E001,2026-05-24 12:31:00,SKU-0011,Coca Cola 2L,2.99,VOID,Yes,False
RV-1011,STORE-184,R4,E004,2026-05-24 13:30:00,SKU-0044,Milk 1 Gallon,5.99,VOID,No,False
RV-8357,STORE-184,R2,E003,2026-05-25 09:37:00,SKU-0022,Lay's Chips 200g,3.49,VOID,Yes,False
RV-7936,STORE-184,R1,E007,2026-05-25 10:09:00,SKU-0022,Lay's Chips 200g,3.49,VOID,No,False
RV-5225,STORE-184,R3,E002,2026-05-25 11:32:00,SKU-0022,Lay's Chips 200g,3.49,VOID,Yes,False
RV-6343,STORE-184,R3,E009,2026-05-25 12:37:00,SKU-0044,Milk 1 Gallon,5.99,RETURN,Yes,False
RV-9571,STORE-184,R2,E005,2026-05-25 13:08:00,SKU-8821,Gillette Fusion Razor 4pk,24.99,VOID,No,True
RV-4304,STORE-184,R2,E005,2026-05-25 13:10:00,SKU-4401,Jack Daniels 750ml,54.99,VOID,No,True
RV-6864,STORE-184,R2,E005,2026-05-25 13:11:00,SKU-2210,Chanel No.5 Perfume,89.99,VOID,No,True
RV-7790,STORE-184,R2,E003,2026-05-25 13:14:00,SKU-0044,Milk 1 Gallon,5.99,VOID,Yes,False
RV-5572,STORE-184,R5,E005,2026-05-26 09:57:00,SKU-0011,Coca Cola 2L,2.99,VOID,Yes,False
RV-6415,STORE-184,R4,E003,2026-05-26 10:27:00,SKU-0033,Bread Loaf,4.99,VOID,Yes,False
RV-1833,STORE-184,R5,E005,2026-05-26 11:35:00,SKU-0033,Bread Loaf,4.99,RETURN,No,False
RV-6207,STORE-184,R5,E004,2026-05-26 12:09:00,SKU-0033,Bread Loaf,4.99,VOID,No,False
RV-9276,STORE-184,R2,E007,2026-05-26 13:29:00,SKU-0011,Coca Cola 2L,2.99,RETURN,Yes,False
