transaction_id,store_id,register_id,employee_id,timestamp,sku,item_name,quantity,price,transaction_type,is_anomaly
T46048,STORE-184,R2,E004,2026-05-20 09:01:00,SKU-4401,Jack Daniels 750ml,1,54.99,SALE,False
T81482,STORE-184,R1,E010,2026-05-20 09:12:00,SKU-4401,Jack Daniels 750ml,2,54.99,SALE,False
T22280,STORE-184,R2,E004,2026-05-20 09:13:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T83563,STORE-184,R2,E009,2026-05-20 09:14:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T87236,STORE-184,R3,E001,2026-05-20 09:22:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T46421,STORE-184,R2,E004,2026-05-20 09:28:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T59797,STORE-184,R1,E006,2026-05-20 09:30:00,SKU-4401,Jack Daniels 750ml,2,54.99,SALE,False
T15695,STORE-184,R4,E009,2026-05-20 09:35:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T82357,STORE-184,R3,E010,2026-05-20 09:37:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T19116,STORE-184,R1,E004,2026-05-20 09:41:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T40512,STORE-184,R1,E007,2026-05-20 09:55:00,SKU-4401,Jack Daniels 750ml,2,54.99,SALE,False
T57819,STORE-184,R2,E006,2026-05-20 10:06:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T44993,STORE-184,R1,E010,2026-05-20 10:17:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T42087,STORE-184,R2,E008,2026-05-20 10:26:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T93886,STORE-184,R5,E004,2026-05-20 10:41:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
T17331,STORE-184,R2,E001,2026-05-20 10:55:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T18675,STORE-184,R2,E010,2026-05-20 11:00:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T95909,STORE-184,R4,E007,2026-05-20 11:04:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T44718,STORE-184,R2,E004,2026-05-20 11:07:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T44438,STORE-184,R5,E007,2026-05-20 11:16:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T38746,STORE-184,R2,E009,2026-05-20 11:22:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T16175,STORE-184,R1,E003,2026-05-20 11:35:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T99192,STORE-184,R4,E010,2026-05-20 11:48:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T88104,STORE-184,R4,E009,2026-05-20 11:55:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T11504,STORE-184,R1,E009,2026-05-20 12:09:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T48469,STORE-184,R4,E003,2026-05-20 12:11:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T44522,STORE-184,R5,E003,2026-05-20 12:23:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T91959,STORE-184,R3,E009,2026-05-20 12:37:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T59009,STORE-184,R2,E009,2026-05-20 12:40:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T52487,STORE-184,R4,E001,2026-05-20 12:50:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T50306,STORE-184,R2,E001,2026-05-20 13:05:00,SKU-7723,Dove Men Care Gift Set,1,34.99,SALE,False
T21226,STORE-184,R4,E002,2026-05-20 13:07:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T96474,STORE-184,R4,E009,2026-05-20 13:10:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T89507,STORE-184,R4,E004,2026-05-20 13:19:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
